id,title,author,year,pages,categories,description,rating,ratings_count
33,"Shakespeare Survey: Volume 58, Writing about Shakespeare",Peter Holland,2005,396,Drama,"Published with academic researchers and graduate students in mind, this volume of the 'Shakespeare Survey' presents a number of contributions on the theme of the play 'Macbeth'.",0.0,0
34,Selling Shakespeare to Hollywood,Emma French,2006,248,Performing Arts,"Filmed Shakespeare criticism has largely centred on aesthetic critiques of filmic devices, or on comparisons between the film and the source text. Employing a new angle, this book explores the reasons why contemporary filmed Shakespeare prompts cultural anxiety about high-culture adaptation.",0.0,0
35,"The Rural Life of Shakespeare, as Illustrated by His Works",Charles Roach Smith,1874,88,England,,0.0,0
36,A Glossary to the Works of William Shakespeare,Alexander Dyce,1880,548,English language,,0.0,0
37,The Plays of Shakespeare,H. Morley,1889,204,,,0.0,0
38,The Works of William Shakespeare: King Henry VI,William Shakespeare,1894,152,,,0.0,0
39,Charles Dickens and His Original Illustrators,Jane R. Cohen,1980,330,Literary Criticism,,5.0,1
40,The Cambridge Companion to Charles Dickens,John O. Jordan,2001,262,Literary Criticism,"The Cambridge Companion to Charles Dickens contains fourteen specially-commissioned chapters by leading international scholars, who together provide diverse but complementary approaches to the full span of Dickens's work, with particular focus on his major fiction. The essays cover the whole range of Dickens's writing, from Sketches by Boz through The Mystery of Edwin Drood. Separate chapters address important thematic topics: childhood, the city, and domestic ideology. Others consider formal features of the novels, including their serial publication and Dickens's distinctive use of language. Three final chapters examine Dickens in relation to work in other media: illustration, theatre, and film. Each essay provides guidance to further reading. The volume as a whole offers a valuable introduction to Dickens for students and general readers, as well as fresh insights, informed by recent critical theory, that will be of interest to scholars and teachers of the novels.",0.0,0
41,Собрание сочинений Чарльза Диккенса,Charles Dickens,1898,370,,,0.0,0
42,Полное собраніе сочиненій Чарльза Диккенса,Чарлз Диккенс,1899,300,,,0.0,0
43,The Works of Charles Dickens,Charles Dickens,1898,648,,,0.0,0
44,Works of Charles Dickens: David Copperfield,Charles Dickens,1876,1314,England,,0.0,0
45,The Works of Charles Dickens: American notes and pictures from Italy,Charles Dickens,1882,544,,,0.0,0
46,The life of Charles Dickens,John Forster,1872,428,,,0.0,0
47,The Writings of Charles Dickens,Charles Dickens,1894,664,,,0.0,0
48,A Cyclopedia of the Best Thoughts of Charles Dickens,Charles Dickens,1873,578,"Authors, English",,0.0,0
49,"The Works of Charles Dickens ; with Introductions, General Essay, and Notes by Andrew Lang: Our mutual friend",Charles Dickens,1898,632,,,0.0,0
50,Beauties of Dickens,Charles Dickens,1872,480,,,0.0,0
51,Jane Austen's Possessions and Dispossessions,Sandie Byrne,2014,301,Literary Criticism,"Who owns, who buys, who gives, and who notices objects is always significant in Austen's writing, placing characters socially and characterizing them symbolically. Jane Austen's Possessions and Dispossessions looks at the significance of objects in Austen's major novels, fragments, and juvenilia.",0.0,0
52,Summary and Analysis of The Real Jane Austen: A Life in Small Things,Worth Books,2017,42,Biography & Autobiography,"So much to read, so little time? This brief overview of The Real Jane Austen tells you what you need to know—before or after you read Paula Byrne's book. Crafted and edited with care, Worth Books set the standard for quality and give you the tools you need to be a well-informed reader. This short summary and analysis of The Real Jane Austen: A Life in Small Things includes: Historical context Chapter-by-chapter overviews Detailed timeline of key events Profiles of the main characters Important quotes Fascinating trivia Glossary of terms Supporting material to enhance your understanding of the original work About The Real Jane Austen by Paula Byrne: The Real Jane Austen forgoes the style of a conventional biography, and uses personal mementos as jumping-off points to explore the life of the celebrated author of Pride and Prejudice, Emma, and other classics of the British literary canon. The objects—a cocked hat, a vellum notebook, and a royalty check—illuminate various compelling aspects of Jane Austen's life and personality. Although early biographies suggest she led a quiet, uneventful life, Austen was aware of the realities of the French Revolution, the slave trade in the West Indies, and the Napoleonic Wars, and she was influenced by the people and events of her day. Whether traveling throughout England or writing in the comfort of her home, the real Jane Austen was a complex and driven woman whose work has been loved for generations. The summary and analysis in this ebook are intended to complement your reading experience and bring you closer to a great work of nonfiction.",0.0,0
53,What Jane Austen's Characters Read (and Why),Susan Allen Ford,2024,279,Literary Criticism,"The first detailed account of Austen's characters' reading experience to date, this book explores both what her characters read and what their literary choices would have meant to Austen's own readership, both during her life and today. Jane Austen was a voracious and extensive reader, so it's perhaps no surprise that many of her characters are also readers-from Mr. Collins in Pride and Prejudice to Fanny Price in Mansfield Park. Beginning by looking at Austen's own reading as well as her interest in readers' responses to her work, the book then focuses on each of her novels, looking at the particulars of her characters' reading and unpacking the multiple (and often surprising) ways in which what they read informs our reading. What Jane Austen's Characters Read (and Why) uses Austen's own love of reading to invite us to rethink the ways in which she imagined her characters and their lives beyond the novels.",0.0,0
54,Jane Austen's Sanditon,Arthur M. Axelrad,2010,498,Fiction,"When Jane Austen died in 1817, she left behind 120 pages of manuscript that would eventually be published as Sanditon. Praised by some critics and condemned by others, this final effort by the great English writer has for the most part been overlooked in favor of the novels that were published during her lifetime and shortly after her death. For the first time, an entire book is devoted to examining this fragment to establish it as Jane Austen's potential masterpiece. With a new setting and a greater range of characters than found in earlier works, this novel composed during the last months of her short life, if completed, would at the same time have continued her series of magnificent novels and created new possibilities for novels to come.",0.0,0
