id,title,author,year,pages,categories,description,rating,ratings_count
17,Честный вор - Ф.М. Достоевский,Фёдор Михайлович Достоевский,2018,22,Fiction,"«Честный вор» - произведение классика русской литературы и одного из лучших романистов мирового уровня Ф. М. Достоевского (1821 – 1881). *** Понятия «честный» и «вор» несовместимы. Однако автор достигает эффекта неожиданности. Сначала заявляет, что честных воров не бывает, но затем идет рассказ о «честном человеке», который таковым был, пока не стал «вором». Писатель исследует психологическую природу людей. Достоевский создал немало других замечательных повестей и романов – «Идиот», «Братья Карамазовы», «Бесы», «Бедные люди», «Униженные и оскорбленные», «Игрок», «Белые ночи», «Кроткая», «Мальчик у Христа на елке», «Вечный муж». Значение творчества Достоевского для мировой литературы и философии сложно переоценить. Его без преувеличения можно назвать самым известным и читаемым российским писателем, который получил известность не только благодаря художественным достоинствам своей прозы, но и благодаря их философскому, нравственному наполнению.",0.0,0
18,Достоевский. Энциклопедия,Николай Наседкин,2022,2208,Biography & Autobiography,"Уникальный путеводитель по необъятному миру Федора Михайловича Достоевского – по данным ЮНЕСКО одного из самых читаемых писателей в мире.Под одной обложкой собраны сведения практически обо всех произведениях и героях Достоевского, людях, окружавших писателя, понятиях, так или иначе связанных с его именем. Издание содержит 150 иллюстраций, написано популярным языком и адресовано всем любителям творчества великого писателя – самому широкому кругу читателей.",0.0,0
19,Достоевский. Повести и рассказы. Том 12,Фёдор Достоевский,2020,940,Fiction,"В двенадцатом томе Собрания сочинений Достоевского печатается «Дневник писателя» за 1873 г., а также его статьи, очерки и фельетоны, помещенные в газете-журнале «Гражданин» and (1873–1874, 1878 and ) и литературном сборнике «Складчина» and (1874 and ). В «Приложении» печатаются «Объяснения и показания Ф. M. Достоевского по делу петрашевцев», представляющие большой биографический интерес и имеющие некоторую перекличку со статьями «Дневник писателя».",0.0,0
20,Достоевский,Б. Н Тихомиров,2008,280,,,0.0,0
21,"Достоевский о науке, капитализме и последних временах",Валентин Катасонов,2020,401,Literary Criticism,"Литература по Достоевскому и его творчеству безбрежна, однако до сих пор в ней остаются белые пятна. Автор книги пытается восполнить некоторые такие пробелы. Речь идет о взглядах великого русского писателя, выражаемых через слова и мысли героев, о роли науки и техники в обществе и истории, о деньгах и ростовщичестве, представлениях о прекрасном и безобразном (вопросы эстетики). Особое внимание в его творчестве уделяется теме русского капитализма (никто из историков и писателей, кроме Достоевского, не оставил нам такую натуралистичную и страшную картину перехода традиционной России к капитализму). Достоевский – писатель пророческий. Многие его предсказания подтверждались отечественной историей ХХ века и событиями сегодняшнего дня.В книге содержится подробный разбор поэмы (легенды) о Великом инквизиторе – самого яркого (по мнению автора) произведения Достоевского. Также раскрывается тезис о том, что Достоевский – наиболее эсхатологический писатель в русской литературе.",0.0,0
22,Достоевский. Повести и рассказы. Том 7,Фёдор Достоевский,2020,1733,Fiction,"В седьмом томе Собрания сочинений Ф. М. Достоевского публикуется роман „Бесы“ с приложением главы „У Тихона“. Впервые изданный в 1872 году, роман рассказывает о формировании революционной ячейки нигилистов в небольшом губернском городе. Главные герои романа являются носителями различный идей, будораживших умы молодежи во второй половине XIX века. Достоевский исследует, можно ли найти правду в этой революционной борьбе, может ли она принести счастье? Более чем 100 лет спустя роман «Бесы» не потерял своей актуальности и остается один из самых ярких романов-предупреждений классической русской литературы.",0.0,0
23,Достоевский,Инна Свеченовская,2006,288,"Authors, Russian",,0.0,0
24,Shakespeare and the Middle Ages,Martha W. Driver,2014,285,Literary Criticism,"Every generation reinvents Shakespeare for its own needs, imagining through its particular choices and emphases the Shakespeare that it values. The man himself was deeply involved in his own kind of historical reimagining. This collection of essays examines the playwright's medieval sources and inspiration, and how they shaped his works. With a foreword by Michael Almereyda (director of the Hamlet starring Ethan Hawke) and dramaturge Dakin Matthews, these thirteen essays analyze the ways in which our modern understanding of medieval life has been influenced by our appreciation of Shakespeare's plays.",0.0,0
25,The Cambridge Companion to Shakespeare on Film,Russell Jackson,2000,364,Drama,"Film adaptations of Shakespeare's plays are increasingly popular and now figure prominently in the study of his work and its reception. This lively Companion is a collection of critical and historical essays on the films adapted from, and inspired by, Shakespeare's plays. An international team of leading scholars discuss Shakespearean films from a variety of perspectives: as works of art in their own right; as products of the international movie industry; in terms of cinematic and theatrical genres; and as the work of particular directors from Laurence Olivier and Orson Welles to Franco Zeffirelli and Kenneth Branagh. They also consider specific issues such as the portrayal of Shakespeare's women and the supernatural. The emphasis is on feature films for cinema, rather than television, with strong coverage of Hamlet, Richard III, Macbeth, King Lear and Romeo and Juliet. A guide to further reading and a useful filmography are also provided.",0.0,0
26,O'Neill's Shakespeare,Normand Berlin,1994,286,Drama,Reveals unexplored links between Shakespeare's plays and the work of Eugene O'Neill,0.0,0
27,The Complete Works of William Shakespeare,William Shakespeare,1886,274,,,0.0,0
28,"Mr. William Shakespeare's Comedies, Histories, Tragedies, & Sonnets",William Shakespeare,1896,1126,,,0.0,0
29,The Shakespeare Myth,Graham Holderness,1988,248,Drama,"""Q. Is 'the Shakespeare connection' (a) a family tree, (b) a drug racket, (c) a railway journey? A. It is all three. From the Carling Black Label television advertisement to the design of the £20 note, from Tony Hancock and Edna Everage to the Stratford Memorial Theatre, from O level exam question to Zeffirelli on the big screen, Shakespeare has permeated English life like no one before or since. The plays and their legendary author function and flourish in more varied and diverse forms than are usually reckoned. Through post-structuralist linguistics, historiographical research, psychoanalytic theories and feminist sexual politics, radical criticism exposes the existence of a culturally produced and historically-determined 'Shakespeare myth'. This anthology of specifically-commissioned essays and interviews directly addresses that myth, as it works through ideology, popular culture, sexual politics, and the institutions of theatre, education and broadcasting. It demonstrates how the 'Shakespeare myth' functions in contemporary culture as an ideological framework for containing consensus and for sustaining delusions of unity, integration and harmony in the cultural superstructures of a divided and fractured society. For every particular present, Shakespeare is here, now, always, what is currently being made of him: to disclose the process of that making is the object of The Shakespeare myth."" -- Back cover",0.0,0
30,Shakespeare--world Views,Heather Kerr,1996,268,Drama,"""Shakespeare: World Views comprises fifteen papers concerned with the politics of reading and performance in Autralasia, Asia, and Europe."" ""The attention to the history and politics of Shakespeare in performance is matched by an interest in the uses and inscriptions of Shakespeare from postcolonial and new European locations."" ""Two very different essays plot Shakespeare's investments in equally different cartographies: the unsettled and unsettling geographies of the Comedies and the patriarchal territories of Lucrece's Tragedy."" ""Taken together, these essays from widely differing geographic, political, and critical locations attest to the multiplicity of ""Shakespeares"" available today. This very multiplicity suggests that Shakespeare is being produced as both local and global, paradoxically fragmented and monolithic, a fertile site both for affinity and contest. The effect is a challenge to any easy claim for Shakespeare's unproblematic status as a stable indicator of cultural value. In Singh's words, this collection manifests the ""anomalies and contradictions"" as well as the rich variety of ""Shakespeares"" around the world.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",0.0,0
31,The Works of William Shakespeare,William Shakespeare,1889,994,,,0.0,0
32,Shakespeare,Henry Norman Hudson,1880,492,,,0.0,0
